RA,DEC,CLASS,PROB,URL
3.19824,0.78774,BENT,,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=3.19824%2C0.78774&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880399712&return=FITS
5.28175,-0.92541,II,0.753803,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=5.28175%2C-0.9254100000000001&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880414364&return=FITS
10.8617,-10.9061,II,0.986218,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=10.8617%2C-10.906080000000001&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880429889&return=FITS
11.0194,1.03138,I,0.891505,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=11.01942%2C1.03138&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880447803&return=FITS
41.4939,-6.81685,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=41.49394%2C-6.81685&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880465934&return=FITS
118.091,33.5636,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=118.09098999999999%2C33.563590000000005&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880482517&return=FITS
118.875,52.0807,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=118.87478999999999%2C52.08072&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880495955&return=FITS
119.12,50.2879,I,0.999987,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=119.11998999999999%2C50.287859999999995&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880508441&return=FITS
120.28,17.9805,II,0.625258,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=120.28%2C17.9805&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880524970&return=FITS
120.492,17.8646,II,0.999989,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=120.49207%2C17.864620000000002&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880537567&return=FITS
121.396,24.164,II,0.978521,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=121.39582%2C24.16398&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880552134&return=FITS
123.432,52.9606,II,0.991822,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=123.43175%2C52.960609999999996&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880569733&return=FITS
123.801,38.6793,II,0.993175,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=123.80141%2C38.67929&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880590105&return=FITS
124.394,44.9808,II,0.999931,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=124.39357%2C44.9808&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880608097&return=FITS
125.698,4.29722,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=125.69847%2C4.297219999999999&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880629763&return=FITS
127.79,41.794,II,0.999992,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=127.78981999999999%2C41.79395&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880650787&return=FITS
127.801,43.6996,I,0.986997,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=127.80063%2C43.69958&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880664603&return=FITS
131.371,42.3314,II,0.778759,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=131.37104%2C42.33136&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880680902&return=FITS
